acdnt_year,관할,acdnt_month,acdnt_day,접수번호,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,legaldong_name,route_nm,acdnt_hdc,acdnt_mdc,acdnt_dc,lrg_violt_1_dc,wether_sttus_dc,road_stle_dc,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_dc,injury_dgree_1_hdc,injury_dgree_1_dc,acdnt_age_1_dc,sexdstn_div_1_dc,dmge_vhcle_asort_hdc,dmge_vhcle_asort_dc,injury_dgree_2_hdc,injury_dgree_2_dc,acdnt_age_2_dc,sexdstn_div_2_dc,bdy_injury_part_1_dc,bdy_injury_part_2_dc,rdse_sttus_dc,longitude,latitude
2021,대덕,01월,01일,000001,금요일,야간,00시,대전광역시 대덕구,중리로,차대사람,기타,차대사람 - 기타,안전운전불이행,맑음,단일로 - 기타,중상사고,0,1,0,0,원동기 자전거 이상,승용,상해없음,상해없음,51-60세,남,보행자,보행자,부상,중상,31-40세,여,상해없음,우측 발, 건조,127.4250739635239,36.36094207563173
2021,대덕,01월,01일,000006,금요일,주간,16시,대전광역시 대덕구,중리로,차대사람,횡단중,차대사람 - 횡단중,보행자보호의무위반,맑음,단일로 - 기타,경상사고,0,0,1,0,원동기 자전거 이상,승용,상해없음,상해없음,41-50세,남,보행자,보행자,부상,경상,51-60세,여,상해없음,뒷면 허리, 건조,127.42508222376236,36.363953222693794
2021,대덕,01월,02일,000012,토요일,주간,14시,대전광역시 대덕구,오정로,차대차,측면충돌,차대차 - 충돌,신호위반,맑음,단일로 - 기타,경상사고,0,0,2,0,원동기 자전거 이상,승용,상해없음,상해없음,51-60세,남,원동기 자전거 이상,승합,부상,경상,51-60세,남,상해없음,뒷면 뒷목, 건조,127.4077709343102,36.35474540761096
2021,대덕,01월,03일,000019,일요일,야간,21시,대전광역시 대덕구,덕암길,차대차,기타,차대차 - 기타,안전운전불이행,맑음,단일로 - 기타,경상사고,0,0,1,0,원동기 자전거 이상,승용,기타,기타불명,41-50세,여,원동기 자전거 이상,승용,부상,경상,41-50세,여,상해없음,뒷면 뒷목, 건조,127.42593057676942,36.44494748874215
2021,대덕,01월,06일,000045,수요일,야간,18시,대전광역시 대덕구,계족산로52번길,차대사람,횡단중,차대사람 - 횡단중,보행자보호의무위반,맑음,교차로 - 교차로횡단보도내,경상사고,0,0,1,0,원동기 자전거 이상,승용,상해없음,상해없음,65세 이상,남,보행자,보행자,부상,경상,21-30세,여,상해없음,우측 손, 건조,127.43720016433542,36.36227432768992
2021,대덕,01월,06일,000048,수요일,야간,22시,대전광역시 대덕구,일반국도17호선,차대차,추돌,차대차 - 추돌,안전운전불이행,눈,교차로 - 교차로부근,경상사고,0,0,1,0,원동기 자전거 이상,승용,상해없음,상해없음,51-60세,남,원동기 자전거 이상,승용,부상,경상,41-50세,여,상해없음,뒷면 뒷목, 적설,127.41541301773223,36.35819494574155
2021,대덕,01월,07일,000120,목요일,주간,10시,대전광역시 대덕구,중리동로,차대차,기타,차대차 - 기타,기타,눈,교차로 - 교차로안,경상사고,0,0,2,0,원동기 자전거 이상,승용,부상,경상,65세 이상,남,원동기 자전거 이상,승용,부상,경상,51-60세,여,뒷면 머리,뒷면 뒷목, 적설,127.42955423243906,36.361584894286864
2021,대덕,01월,07일,000058,목요일,주간,17시,대전광역시 대덕구,오정로,차대차,추돌,차대차 - 추돌,안전거리미확보,눈,교차로 - 교차로부근,경상사고,0,0,4,0,원동기 자전거 이상,승용,상해없음,상해없음,61-64세,남,원동기 자전거 이상,승용,부상,경상,41-50세,남,상해없음,뒷면 뒷목, 적설,127.41541231832996,36.34853944333016
2021,대덕,01월,08일,000108,금요일,주간,13시,대전광역시 대덕구,,차대차,측면충돌,차대차 - 충돌,기타,맑음,교차로 - 교차로안,경상사고,0,0,1,0,원동기 자전거 이상,승용,상해없음,상해없음,51-60세,여,원동기 자전거 이상,승용,부상,경상,51-60세,남,상해없음,뒷면 뒷목, 서리/결빙,127.40768039707284,36.35590832486738
2021,대덕,01월,08일,000056,금요일,야간,18시,대전광역시 대덕구,중리로,차대사람,기타,차대사람 - 기타,안전운전불이행,맑음,단일로 - 기타,경상사고,0,0,1,0,원동기 자전거 이상,승용,상해없음,상해없음,51-60세,남,보행자,보행자,부상,경상,21-30세,여,상해없음,뒷면 뒷목, 건조,127.42553062161562,36.36130297699422
